Name	Team	Opp	Score	Att	Yds	Avg	TD	FUM
Julian Edelman	NE	vs HOU	W  27-0	3	14	4.7	0	0
Chris Ivory	JAX	vs BAL	L  17-19	12	14	1.2	0	0
Brock Osweiler	HOU	@ NE	L  0-27	1	13	13.0	0	0
Jameis Winston	TB	vs LA	L  32-37	4	13	3.2	0	1
Alfred Blue	HOU	@ NE	L  0-27	2	12	6.0	0	0
Alex Collins	SEA	vs SF	W  37-18	4	12	3.0	0	0
Joe Flacco	BAL	@ JAX	W  19-17	3	12	4.0	1	0
Terrence Magee	SEA	vs SF	W  37-18	3	12	4.0	0	0
James White	NE	vs HOU	W  27-0	3	12	4.0	0	0
Matthew Stafford	DET	@ GB	L  27-34	2	11	5.5	0	0
Shaun Draughn	SF	@ SEA	L  18-37	5	10	2.0	0	0
Carson Wentz	PHI	vs PIT	W  34-3	1	10	10.0	0	0
Theo Riddick	DET	@ GB	L  27-34	10	9	0.9	0	0
Robert Turbin	IND	vs SD	W  26-22	4	9	2.2	1	0
Giovani Bernard	CIN	vs DEN	L  17-29	5	8	1.6	0	0
Devontae Booker	DEN	@ CIN	W  29-17	4	8	2.0	0	0
Rob Kelley	WAS	@ NYG	W  29-27	4	7	1.8	0	0
Ben Roethlisberger	PIT	@ PHI	L  3-34	1	7	7.0	0	1
Martellus Bennett	NE	vs HOU	W  27-0	1	6	6.0	0	0
Ted Ginn	CAR	vs MIN	L  10-22	2	5	2.5	0	0
Chris Johnson	ARI	@ BUF	L  18-33	2	5	2.5	0	0
Trevor Siemian	DEN	@ CIN	W  29-17	3	5	1.7	0	0
Mike Tolbert	CAR	vs MIN	L  10-22	2	5	2.5	0	0
Mike Wallace	BAL	@ JAX	W  19-17	1	5	5.0	0	0
Jonathan Grimes	HOU	@ NE	L  0-27	3	4	1.3	0	0
Charcandrick West	KC	vs NYJ	W  24-3	3	3	1.0	0	0
Lucky Whitehead	DAL	vs CHI	W  31-17	1	3	3.0	0	0
Russell Wilson	SEA	vs SF	W  37-18	1	3	3.0	0	0
Josh Ferguson	IND	vs SD	W  26-22	1	2	2.0	0	0
Johnny Holton	OAK	@ TEN	W  17-10	1	2	2.0	0	0
Andy Janovich	DEN	@ CIN	W  29-17	1	2	2.0	0	0
Breshad Perriman	BAL	@ JAX	W  19-17	1	2	2.0	0	0
Philip Rivers	SD	@ IND	L  22-26	1	2	2.0	0	1
Ryan Tannehill	MIA	vs CLE	W  30-24	1	2	2.0	0	1
Jonathan Williams	BUF	vs ARI	W  33-18	3	2	0.7	0	0
Lance Dunbar	DAL	vs CHI	W  31-17	1	1	1.0	1	0
Andrew Hawkins	CLE	@ MIA	L  24-30	1	1	1.0	0	0
Case Keenum	LA	@ TB	W  37-32	2	1	0.5	0	0
Daryl Richardson	PIT	@ PHI	L  3-34	1	1	1.0	0	0
Drew Butler	ARI	@ BUF	L  18-33	1	0	0.0	0	1
Jordan Norwood	DEN	@ CIN	W  29-17	1	0	0.0	0	0
Jamize Olawale	OAK	@ TEN	W  17-10	1	0	0.0	0	0
Derek Carr	OAK	@ TEN	W  17-10	1	-1	-1.0	0	0
Cody Kessler	CLE	@ MIA	L  24-30	2	-1	-0.5	0	1
Ty Montgomery	GB	vs DET	W  34-27	1	-1	-1.0	0	0
Darren Sproles	PHI	vs PIT	W  34-3	2	-1	-0.5	0	0
James Starks	GB	vs DET	W  34-27	1	-1	-1.0	0	0
Trevone Boykin	SEA	vs SF	W  37-18	2	-2	-1.0	0	0
Sam Bradford	MIN	@ CAR	W  22-10	2	-2	-1.0	0	0
Brandon LaFell	CIN	vs DEN	L  17-29	1	-2	-2.0	0	0
Tyreek Hill	KC	vs NYJ	W  24-3	1	-3	-3.0	0	0
Brian Hoyer	CHI	@ DAL	L  17-31	3	-3	-1.0	0	1
Alex Smith	KC	vs NYJ	W  24-3	3	-3	-1.0	0	0
Doug Baldwin	SEA	vs SF	W  37-18	1	-4	-4.0	0	0
Kirk Cousins	WAS	@ NYG	W  29-27	3	-5	-1.7	0	0
Ryan Mathews	PHI	vs PIT	W  34-3	2	-5	-2.5	0	0
Golden Tate	DET	@ GB	L  27-34	1	-8	-8.0	0	0
