Column 0,TeamID,Week,Year.x,GID,Name,Pos,Team.x,h.a,Oppt,FD.points,FD.salary,Team.y,Rk.x,G.x,Pts.G.x,TotPts.x,Att.x,Att.G.x,Yds.x,Avg.x,Yds.G.x,TD.x,Lng.x,X1st.x,X1st..x,X20..x,X40..x,FUM.x,Rk.y,G.y,Pts.G.y,TotPts.y,Comp,Att.y,Pct,Att.G.y,Yds.y,Avg.y,Yds.G.y,TD.y,Int,X1st.y,X1st..y,Lng.y,X20..y,X40..y,Sck,Rate,k,G,Pts.G,TotPts,Scrm.Plys,Yds.G,Yds.P,X1st.G,X3rd.Md,X3rd.Att,X3rd.Pct,X4th.Md,X4th.Att,X4th.Pct,Pen,Pen.Yds,ToP.G,FUM.y,Lost,Year.y,Rk,Scored Labels
86,4,3,2016,5229,"Brown, Jaron",WR,ARI,t,buf,8.550000191,4900,Buffalo Bills,15,2,25,50,64,32,206,3.2,103,3,12T,11,17.2,0,0,1,24,2,25,50,46,67,68.7,33.5,595,9.4,297.5,2,0,29,43.3,66T,11,1,5,108.6,NA,2,25,50,136,400.5,5.9,23,14,28,50,0,1,0,13,85,36:02,3,2,NA,23,5.12666893005371
87,4,3,2016,5409,"Nelson, J.J.",WR,ARI,t,buf,1.600000024,4700,Buffalo Bills,16,16,22.4,359,394,24.6,1730,4.4,108.1,10,58,87,22.1,9,2,4,19,16,22.4,359,347,602,57.6,37.6,3972,6.8,248.2,30,17,197,32.7,77T,59,11,21,83.3,19,16,224,359,1017,356.4,5.6,20.1,85,210,40,3,13,23,113,906,28:42,16,8,2016,NA,1.29315376281738
88,4,3,2016,5409,"Nelson, J.J.",WR,ARI,t,buf,1.600000024,4700,Buffalo Bills,15,2,25,50,64,32,206,3.2,103,3,12T,11,17.2,0,0,1,24,2,25,50,46,67,68.7,33.5,595,9.4,297.5,2,0,29,43.3,66T,11,1,5,108.6,NA,2,25,50,136,400.5,5.9,23,14,28,50,0,1,0,13,85,36:02,3,2,NA,23,2.34036874771118
89,4,3,2016,2892,"Ellington, Andre",RB,ARI,t,buf,1.700000048,4700,Buffalo Bills,16,16,22.4,359,394,24.6,1730,4.4,108.1,10,58,87,22.1,9,2,4,19,16,22.4,359,347,602,57.6,37.6,3972,6.8,248.2,30,17,197,32.7,77T,59,11,21,83.3,19,16,224,359,1017,356.4,5.6,20.1,85,210,40,3,13,23,113,906,28:42,16,8,2016,NA,2.97560501098633
90,4,3,2016,2892,"Ellington, Andre",RB,ARI,t,buf,1.700000048,4700,Buffalo Bills,15,2,25,50,64,32,206,3.2,103,3,12T,11,17.2,0,0,1,24,2,25,50,46,67,68.7,33.5,595,9.4,297.5,2,0,29,43.3,66T,11,1,5,108.6,NA,2,25,50,136,400.5,5.9,23,14,28,50,0,1,0,13,85,36:02,3,2,NA,23,3.44915056228638
91,4,3,2016,4609,"Fells, Darren",TE,ARI,t,buf,5.099999905,4600,Buffalo Bills,16,16,22.4,359,394,24.6,1730,4.4,108.1,10,58,87,22.1,9,2,4,19,16,22.4,359,347,602,57.6,37.6,3972,6.8,248.2,30,17,197,32.7,77T,59,11,21,83.3,19,16,224,359,1017,356.4,5.6,20.1,85,210,40,3,13,23,113,906,28:42,16,8,2016,NA,5.50241231918335
92,4,3,2016,4609,"Fells, Darren",TE,ARI,t,buf,5.099999905,4600,Buffalo Bills,15,2,25,50,64,32,206,3.2,103,3,12T,11,17.2,0,0,1,24,2,25,50,46,67,68.7,33.5,595,9.4,297.5,2,0,29,43.3,66T,11,1,5,108.6,NA,2,25,50,136,400.5,5.9,23,14,28,50,0,1,0,13,85,36:02,3,2,NA,23,8.00439929962158
93,4,3,2016,4493,"Gresham, Jermaine",TE,ARI,t,buf,3.049999952,4500,Buffalo Bills,16,16,22.4,359,394,24.6,1730,4.4,108.1,10,58,87,22.1,9,2,4,19,16,22.4,359,347,602,57.6,37.6,3972,6.8,248.2,30,17,197,32.7,77T,59,11,21,83.3,19,16,224,359,1017,356.4,5.6,20.1,85,210,40,3,13,23,113,906,28:42,16,8,2016,NA,2.94751977920532
94,4,3,2016,4493,"Gresham, Jermaine",TE,ARI,t,buf,3.049999952,4500,Buffalo Bills,15,2,25,50,64,32,206,3.2,103,3,12T,11,17.2,0,0,1,24,2,25,50,46,67,68.7,33.5,595,9.4,297.5,2,0,29,43.3,66T,11,1,5,108.6,NA,2,25,50,136,400.5,5.9,23,14,28,50,0,1,0,13,85,36:02,3,2,NA,23,1.09115839004517
95,4,3,2016,2918,"Williams, Kerwynn",RB,ARI,t,buf,3.46666654,4500,Buffalo Bills,16,16,22.4,359,394,24.6,1730,4.4,108.1,10,58,87,22.1,9,2,4,19,16,22.4,359,347,602,57.6,37.6,3972,6.8,248.2,30,17,197,32.7,77T,59,11,21,83.3,19,16,224,359,1017,356.4,5.6,20.1,85,210,40,3,13,23,113,906,28:42,16,8,2016,NA,3.66072463989258
