TeamID,Name,Week,Team.x,Opp,Score,Comp.x,Att,Yds,TD,Int.x,Sck.x,FUM,Rate.x,Oppt.x,Avg,Rec,FG.Made,FG.Att,XP.Made,XP.Att,Pts,Year,GID,Pos,Team.y,h.a,Oppt.y,FD.points,FD.salary,TeamID.y,Team,Rk.x,G.x,Pts.G.x,TotPts.x,Att.x,Att.G.x,Yds.x,Avg.x,Yds.G.x,TD.x,Lng.x,X1st.x,X1st..x,X20..x,X40..x,FUM.x,Rk.y,G.y,Pts.G.y,TotPts.y,Comp.y,Att.y,Pct,Att.G.y,Yds.y,Avg.y,Yds.G.y,TD.y,Int.y,X1st.y,X1st..y,Lng.y,X20..y,X40..y,Sck.y,Rate.y,Rk,G,Pts.G,TotPts,Scrm.Plys,Yds.G,Yds.P,X1st.G,X3rd.Md,X3rd.Att,X3rd.Pct,X4th.Md,X4th.Att,X4th.Pct,Pen,Pen.Yds,ToP.G,FUM.y,Lost,Scored Labels
24,"Succop, Ryan",3,ten,vs OAK,L  10-17,0,0,0,0,0,0,0,0,oak,0,0,1,1,1,1,4,2016,6169,K,TEN,t,hou,4.33333333333333,4500,13,Oakland Raiders,29,3,26.3,79,80,26.7,408,5.1,136,2,36,25,31.3,1,0,2,32,3,26.3,79,71,109,65.1,36.3,1020,9.5,340,7,3,43,39.4,98T,16,5,3,105.8,32,3,26.3,79,192,476,7.4,24.3,11,33,33,1,2,50,22,195,29:16,4,2,3.60301637649536
24,"Supernaw, Phillip",3,ten,vs OAK,L  10-17,0,0,0,0,0,0,0,0,oak,0,0,0,0,0,0,0,2016,4637,TE,TEN,t,hou,0.600000023841858,4500,13,Oakland Raiders,29,3,26.3,79,80,26.7,408,5.1,136,2,36,25,31.3,1,0,2,32,3,26.3,79,71,109,65.1,36.3,1020,9.5,340,7,3,43,39.4,98T,16,5,3,105.8,32,3,26.3,79,192,476,7.4,24.3,11,33,33,1,2,50,22,195,29:16,4,2,-0.592699706554413
25,"Boswell, Chris",3,pit,@ PHI,L  3-34,0,0,0,0,0,0,0,0,phi,0,0,1,2,0,0,3,2016,6225,K,PIT,t,kc,6.66666666666667,4800,16,Philadelphia Eagles,2,3,9,27,49,16.3,213,4.3,71,2,20,14,28.6,2,0,1,8,3,9,27,57,99,57.6,33,610,6.9,203.3,0,3,27,27.3,58,9,4,10,66.1,4,3,9,27,158,274.3,5.2,15,10,31,32,0,5,0,18,152,23:13,6,3,3.41199469566345
25,"Brown, Antonio",3,pit,@ PHI,L  3-34,0,0,140,0,0,0,0,0,phi,11.7,12,0,0,0,0,0,2016,3474,WR,PIT,t,kc,18.1666666666667,9400,16,Philadelphia Eagles,2,3,9,27,49,16.3,213,4.3,71,2,20,14,28.6,2,0,1,8,3,9,27,57,99,57.6,33,610,6.9,203.3,0,3,27,27.3,58,9,4,10,66.1,4,3,9,27,158,274.3,5.2,15,10,31,32,0,5,0,18,152,23:13,6,3,20.5371170043945
25,"Coates, Sammie",3,pit,@ PHI,L  3-34,0,0,50,0,0,0,0,0,phi,16.7,3,0,0,0,0,0,2016,5388,WR,PIT,t,kc,8.13333320617676,5400,16,Philadelphia Eagles,2,3,9,27,49,16.3,213,4.3,71,2,20,14,28.6,2,0,1,8,3,9,27,57,99,57.6,33,610,6.9,203.3,0,3,27,27.3,58,9,4,10,66.1,4,3,9,27,158,274.3,5.2,15,10,31,32,0,5,0,18,152,23:13,6,3,6.4123363494873
25,"Heyward-Bey, Darrius",3,pit,@ PHI,L  3-34,0,0,0,0,0,0,0,0,phi,0,0,0,0,0,0,0,2016,3848,WR,PIT,t,kc,0.600000023841858,4500,16,Philadelphia Eagles,2,3,9,27,49,16.3,213,4.3,71,2,20,14,28.6,2,0,1,8,3,9,27,57,99,57.6,33,610,6.9,203.3,0,3,27,27.3,58,9,4,10,66.1,4,3,9,27,158,274.3,5.2,15,10,31,32,0,5,0,18,152,23:13,6,3,-0.41756796836853
25,"James, Jesse",3,pit,@ PHI,L  3-34,0,0,10,0,0,0,0,0,phi,5,2,0,0,0,0,0,2016,4653,TE,PIT,t,kc,6,4500,16,Philadelphia Eagles,2,3,9,27,49,16.3,213,4.3,71,2,20,14,28.6,2,0,1,8,3,9,27,57,99,57.6,33,610,6.9,203.3,0,3,27,27.3,58,9,4,10,66.1,4,3,9,27,158,274.3,5.2,15,10,31,32,0,5,0,18,152,23:13,6,3,2.14185738563538
25,"Richardson, Daryl",3,pit,@ PHI,L  3-34,0,1,1,0,0,0,0,0,phi,1,0,0,0,0,0,0,2016,2864,RB,PIT,t,kc,0.349999994039536,4500,16,Philadelphia Eagles,2,3,9,27,49,16.3,213,4.3,71,2,20,14,28.6,2,0,1,8,3,9,27,57,99,57.6,33,610,6.9,203.3,0,3,27,27.3,58,9,4,10,66.1,4,3,9,27,158,274.3,5.2,15,10,31,32,0,5,0,18,152,23:13,6,3,1.49919414520264
25,"Roethlisberger, Ben",3,pit,@ PHI,L  3-34,24,44,257,0,1,4,1,62.4,phi,0,0,0,0,0,0,0,2016,1232,QB,PIT,t,kc,17.5133336385091,8400,16,Philadelphia Eagles,2,3,9,27,49,16.3,213,4.3,71,2,20,14,28.6,2,0,1,8,3,9,27,57,99,57.6,33,610,6.9,203.3,0,3,27,27.3,58,9,4,10,66.1,4,3,9,27,158,274.3,5.2,15,10,31,32,0,5,0,18,152,23:13,6,3,8.8233699798584
25,"Roethlisberger, Ben",3,pit,@ PHI,L  3-34,0,1,7,0,0,0,1,0,phi,7,0,0,0,0,0,0,2016,1232,QB,PIT,t,kc,17.5133336385091,8400,16,Philadelphia Eagles,2,3,9,27,49,16.3,213,4.3,71,2,20,14,28.6,2,0,1,8,3,9,27,57,99,57.6,33,610,6.9,203.3,0,3,27,27.3,58,9,4,10,66.1,4,3,9,27,158,274.3,5.2,15,10,31,32,0,5,0,18,152,23:13,6,3,8.4779167175293
