"","TeamID","Name","Team.x","Opp","Score","Sacks","Sack.Yds","QB.Hits","Tackles","Assists","Fumbles.Forced","Fumbles.Recovered","Team.y","Rk.x","G.x","Pts.G.x","TotPts.x","Att.x","Att.G.x","Yds.x","Avg.x","Yds.G.x","TD.x","Lng.x","X1st.x","X1st..x","X20..x","X40..x","FUM.x","Rk.y","G.y","Pts.G.y","TotPts.y","Comp","Att.y","Pct","Att.G.y","Yds.y","Avg.y","Yds.G.y","TD.y","Int","X1st.y","X1st..y","Lng.y","X20..y","X40..y","Sck","Rate","k","G","Pts.G","TotPts","Scrm.Plys","Yds.G","Yds.P","X1st.G","X3rd.Md","X3rd.Att","X3rd.Pct","X4th.Md","X4th.Att","X4th.Pct","Pen","Pen.Yds","ToP.G","FUM.y","Lost","Year","Rk"
"22",2,"Jonathan Babineaux","atl","vs TB","L  24-31",0,0,0,2,0,0,0,"Atlanta Falcons",26,2,29.5,59,53,26.5,"245",4.6,122.5,1,"26",13,24.5,1,0,0,22,2,29.5,59,57,77,74,38.5,"580",7.5,290,7,1,29,37.7,"45T",7,1,1,120,NA,2,"29.5",59,"131",412.5,6.3,24.5,8,21,38,1,2,50,15,"106","30:11",1,0,NA,29
"23",2,"Vic Beasley","atl","@ OAK","W  35-28",1,0,1,2,0,0,0,"Atlanta Falcons",14,16,21.6,345,416,26,"1,680",4,105,20,"44",107,25.7,12,1,7,18,16,21.6,345,370,561,66,35.1,"3,882",7.1,242.6,19,15,197,35.1,"74T",50,5,19,86.9,16,16,"21,6",345,"996",347.6,5.6,20.9,82,191,43,5,15,33,95,"728","28:25",15,8,2016,NA
"24",2,"Vic Beasley","atl","@ OAK","W  35-28",1,0,1,2,0,0,0,"Atlanta Falcons",26,2,29.5,59,53,26.5,"245",4.6,122.5,1,"26",13,24.5,1,0,0,22,2,29.5,59,57,77,74,38.5,"580",7.5,290,7,1,29,37.7,"45T",7,1,1,120,NA,2,"29.5",59,"131",412.5,6.3,24.5,8,21,38,1,2,50,15,"106","30:11",1,0,NA,29
"25",2,"Robert Alford","atl","@ OAK","W  35-28",0,0,0,5,0,0,0,"Atlanta Falcons",14,16,21.6,345,416,26,"1,680",4,105,20,"44",107,25.7,12,1,7,18,16,21.6,345,370,561,66,35.1,"3,882",7.1,242.6,19,15,197,35.1,"74T",50,5,19,86.9,16,16,"21,6",345,"996",347.6,5.6,20.9,82,191,43,5,15,33,95,"728","28:25",15,8,2016,NA
"26",2,"Robert Alford","atl","@ OAK","W  35-28",0,0,0,5,0,0,0,"Atlanta Falcons",26,2,29.5,59,53,26.5,"245",4.6,122.5,1,"26",13,24.5,1,0,0,22,2,29.5,59,57,77,74,38.5,"580",7.5,290,7,1,29,37.7,"45T",7,1,1,120,NA,2,"29.5",59,"131",412.5,6.3,24.5,8,21,38,1,2,50,15,"106","30:11",1,0,NA,29
"27",2,"Ricardo Allen","atl","@ OAK","W  35-28",0,0,0,4,3,0,0,"Atlanta Falcons",14,16,21.6,345,416,26,"1,680",4,105,20,"44",107,25.7,12,1,7,18,16,21.6,345,370,561,66,35.1,"3,882",7.1,242.6,19,15,197,35.1,"74T",50,5,19,86.9,16,16,"21,6",345,"996",347.6,5.6,20.9,82,191,43,5,15,33,95,"728","28:25",15,8,2016,NA
"28",2,"Ricardo Allen","atl","@ OAK","W  35-28",0,0,0,4,3,0,0,"Atlanta Falcons",26,2,29.5,59,53,26.5,"245",4.6,122.5,1,"26",13,24.5,1,0,0,22,2,29.5,59,57,77,74,38.5,"580",7.5,290,7,1,29,37.7,"45T",7,1,1,120,NA,2,"29.5",59,"131",412.5,6.3,24.5,8,21,38,1,2,50,15,"106","30:11",1,0,NA,29
"29",3,"Timmy Jernigan","bal","vs BUF","W  13-7",1,4,2,2,0,0,0,"Baltimore Ravens",12,16,25.1,401,418,26.1,"1,661",4,103.8,10,"62",80,19.1,9,1,7,10,16,25.1,401,350,545,64.2,34.1,"3,737",7.3,233.6,30,6,189,34.7,"80T",51,10,37,99.6,8,16,"25,1",401,"1,000",337.4,5.4,19.4,86,216,40,4,9,44,103,"748","30:36",18,8,2016,NA
"30",3,"Timmy Jernigan","bal","vs BUF","W  13-7",1,4,2,2,0,0,0,"Baltimore Ravens",16,2,13.5,27,47,23.5,"210",4.5,105,2,"85T",7,14.9,1,1,1,1,2,13.5,27,35,55,63.6,27.5,"337",6.7,168.5,2,2,20,36.4,"47",4,1,5,80.2,NA,2,"13.5",27,"107",273.5,5.1,14,11,28,39,3,3,100,16,"148","28:04",3,0,NA,2
"31",3,"Terrell Suggs","bal","vs BUF","W  13-7",1,12,1,2,0,0,0,"Baltimore Ravens",12,16,25.1,401,418,26.1,"1,661",4,103.8,10,"62",80,19.1,9,1,7,10,16,25.1,401,350,545,64.2,34.1,"3,737",7.3,233.6,30,6,189,34.7,"80T",51,10,37,99.6,8,16,"25,1",401,"1,000",337.4,5.4,19.4,86,216,40,4,9,44,103,"748","30:36",18,8,2016,NA
"32",3,"Terrell Suggs","bal","vs BUF","W  13-7",1,12,1,2,0,0,0,"Baltimore Ravens",16,2,13.5,27,47,23.5,"210",4.5,105,2,"85T",7,14.9,1,1,1,1,2,13.5,27,35,55,63.6,27.5,"337",6.7,168.5,2,2,20,36.4,"47",4,1,5,80.2,NA,2,"13.5",27,"107",273.5,5.1,14,11,28,39,3,3,100,16,"148","28:04",3,0,NA,2
"33",3,"Timmy Jernigan","bal","@ CLE","W  25-20",1,5,3,4,2,0,0,"Baltimore Ravens",12,16,25.1,401,418,26.1,"1,661",4,103.8,10,"62",80,19.1,9,1,7,10,16,25.1,401,350,545,64.2,34.1,"3,737",7.3,233.6,30,6,189,34.7,"80T",51,10,37,99.6,8,16,"25,1",401,"1,000",337.4,5.4,19.4,86,216,40,4,9,44,103,"748","30:36",18,8,2016,NA
"34",3,"Timmy Jernigan","bal","@ CLE","W  25-20",1,5,3,4,2,0,0,"Baltimore Ravens",16,2,13.5,27,47,23.5,"210",4.5,105,2,"85T",7,14.9,1,1,1,1,2,13.5,27,35,55,63.6,27.5,"337",6.7,168.5,2,2,20,36.4,"47",4,1,5,80.2,NA,2,"13.5",27,"107",273.5,5.1,14,11,28,39,3,3,100,16,"148","28:04",3,0,NA,2
"35",3,"Michael Pierce","bal","@ CLE","W  25-20",1,6,2,1,0,0,0,"Baltimore Ravens",12,16,25.1,401,418,26.1,"1,661",4,103.8,10,"62",80,19.1,9,1,7,10,16,25.1,401,350,545,64.2,34.1,"3,737",7.3,233.6,30,6,189,34.7,"80T",51,10,37,99.6,8,16,"25,1",401,"1,000",337.4,5.4,19.4,86,216,40,4,9,44,103,"748","30:36",18,8,2016,NA
"36",3,"Michael Pierce","bal","@ CLE","W  25-20",1,6,2,1,0,0,0,"Baltimore Ravens",16,2,13.5,27,47,23.5,"210",4.5,105,2,"85T",7,14.9,1,1,1,1,2,13.5,27,35,55,63.6,27.5,"337",6.7,168.5,2,2,20,36.4,"47",4,1,5,80.2,NA,2,"13.5",27,"107",273.5,5.1,14,11,28,39,3,3,100,16,"148","28:04",3,0,NA,2
"37",3,"Brent Urban","bal","@ CLE","W  25-20",1,7,1,1,0,0,0,"Baltimore Ravens",12,16,25.1,401,418,26.1,"1,661",4,103.8,10,"62",80,19.1,9,1,7,10,16,25.1,401,350,545,64.2,34.1,"3,737",7.3,233.6,30,6,189,34.7,"80T",51,10,37,99.6,8,16,"25,1",401,"1,000",337.4,5.4,19.4,86,216,40,4,9,44,103,"748","30:36",18,8,2016,NA
"38",3,"Brent Urban","bal","@ CLE","W  25-20",1,7,1,1,0,0,0,"Baltimore Ravens",16,2,13.5,27,47,23.5,"210",4.5,105,2,"85T",7,14.9,1,1,1,1,2,13.5,27,35,55,63.6,27.5,"337",6.7,168.5,2,2,20,36.4,"47",4,1,5,80.2,NA,2,"13.5",27,"107",273.5,5.1,14,11,28,39,3,3,100,16,"148","28:04",3,0,NA,2
"39",3,"Terrell Suggs","bal","@ JAX","W  19-17",2,9,2,3,0,0,0,"Baltimore Ravens",12,16,25.1,401,418,26.1,"1,661",4,103.8,10,"62",80,19.1,9,1,7,10,16,25.1,401,350,545,64.2,34.1,"3,737",7.3,233.6,30,6,189,34.7,"80T",51,10,37,99.6,8,16,"25,1",401,"1,000",337.4,5.4,19.4,86,216,40,4,9,44,103,"748","30:36",18,8,2016,NA
"40",3,"Terrell Suggs","bal","@ JAX","W  19-17",2,9,2,3,0,0,0,"Baltimore Ravens",16,2,13.5,27,47,23.5,"210",4.5,105,2,"85T",7,14.9,1,1,1,1,2,13.5,27,35,55,63.6,27.5,"337",6.7,168.5,2,2,20,36.4,"47",4,1,5,80.2,NA,2,"13.5",27,"107",273.5,5.1,14,11,28,39,3,3,100,16,"148","28:04",3,0,NA,2
"41",3,"Lawrence Guy","bal","@ JAX","W  19-17",1,9,1,3,0,0,0,"Baltimore Ravens",12,16,25.1,401,418,26.1,"1,661",4,103.8,10,"62",80,19.1,9,1,7,10,16,25.1,401,350,545,64.2,34.1,"3,737",7.3,233.6,30,6,189,34.7,"80T",51,10,37,99.6,8,16,"25,1",401,"1,000",337.4,5.4,19.4,86,216,40,4,9,44,103,"748","30:36",18,8,2016,NA
"42",3,"Lawrence Guy","bal","@ JAX","W  19-17",1,9,1,3,0,0,0,"Baltimore Ravens",16,2,13.5,27,47,23.5,"210",4.5,105,2,"85T",7,14.9,1,1,1,1,2,13.5,27,35,55,63.6,27.5,"337",6.7,168.5,2,2,20,36.4,"47",4,1,5,80.2,NA,2,"13.5",27,"107",273.5,5.1,14,11,28,39,3,3,100,16,"148","28:04",3,0,NA,2
"43",3,"Timmy Jernigan","bal","@ JAX","W  19-17",1,8,1,2,0,0,0,"Baltimore Ravens",12,16,25.1,401,418,26.1,"1,661",4,103.8,10,"62",80,19.1,9,1,7,10,16,25.1,401,350,545,64.2,34.1,"3,737",7.3,233.6,30,6,189,34.7,"80T",51,10,37,99.6,8,16,"25,1",401,"1,000",337.4,5.4,19.4,86,216,40,4,9,44,103,"748","30:36",18,8,2016,NA
"44",3,"Timmy Jernigan","bal","@ JAX","W  19-17",1,8,1,2,0,0,0,"Baltimore Ravens",16,2,13.5,27,47,23.5,"210",4.5,105,2,"85T",7,14.9,1,1,1,1,2,13.5,27,35,55,63.6,27.5,"337",6.7,168.5,2,2,20,36.4,"47",4,1,5,80.2,NA,2,"13.5",27,"107",273.5,5.1,14,11,28,39,3,3,100,16,"148","28:04",3,0,NA,2
"45",4,"Jerry Hughes","buf","@ BAL","L  7-13",2,18,2,5,1,0,0,"Buffalo Bills",16,16,22.4,359,394,24.6,"1,730",4.4,108.1,10,"58",87,22.1,9,2,4,19,16,22.4,359,347,602,57.6,37.6,"3,972",6.8,248.2,30,17,197,32.7,"77T",59,11,21,83.3,19,16,"22,4",359,"1,017",356.4,5.6,20.1,85,210,40,3,13,23,113,"906","28:42",16,8,2016,NA
"46",4,"Jerry Hughes","buf","@ BAL","L  7-13",2,18,2,5,1,0,0,"Buffalo Bills",15,2,25,50,64,32,"206",3.2,103,3,"12T",11,17.2,0,0,1,24,2,25,50,46,67,68.7,33.5,"595",9.4,297.5,2,0,29,43.3,"66T",11,1,5,108.6,NA,2,"25",50,"136",400.5,5.9,23,14,28,50,0,1,0,13,"85","36:02",3,2,NA,23
"47",4,"Leger Douzable","buf","@ BAL","L  7-13",1.5,10.5,3,1,1,0,0,"Buffalo Bills",16,16,22.4,359,394,24.6,"1,730",4.4,108.1,10,"58",87,22.1,9,2,4,19,16,22.4,359,347,602,57.6,37.6,"3,972",6.8,248.2,30,17,197,32.7,"77T",59,11,21,83.3,19,16,"22,4",359,"1,017",356.4,5.6,20.1,85,210,40,3,13,23,113,"906","28:42",16,8,2016,NA
"48",4,"Leger Douzable","buf","@ BAL","L  7-13",1.5,10.5,3,1,1,0,0,"Buffalo Bills",15,2,25,50,64,32,"206",3.2,103,3,"12T",11,17.2,0,0,1,24,2,25,50,46,67,68.7,33.5,"595",9.4,297.5,2,0,29,43.3,"66T",11,1,5,108.6,NA,2,"25",50,"136",400.5,5.9,23,14,28,50,0,1,0,13,"85","36:02",3,2,NA,23
"49",4,"Lorenzo Alexander","buf","@ BAL","L  7-13",0.5,4.5,2,1,2,0,0,"Buffalo Bills",16,16,22.4,359,394,24.6,"1,730",4.4,108.1,10,"58",87,22.1,9,2,4,19,16,22.4,359,347,602,57.6,37.6,"3,972",6.8,248.2,30,17,197,32.7,"77T",59,11,21,83.3,19,16,"22,4",359,"1,017",356.4,5.6,20.1,85,210,40,3,13,23,113,"906","28:42",16,8,2016,NA
"50",4,"Lorenzo Alexander","buf","@ BAL","L  7-13",0.5,4.5,2,1,2,0,0,"Buffalo Bills",15,2,25,50,64,32,"206",3.2,103,3,"12T",11,17.2,0,0,1,24,2,25,50,46,67,68.7,33.5,"595",9.4,297.5,2,0,29,43.3,"66T",11,1,5,108.6,NA,2,"25",50,"136",400.5,5.9,23,14,28,50,0,1,0,13,"85","36:02",3,2,NA,23
"51",4,"Lorenzo Alexander","buf","vs NYJ","L  31-37",1,4,0,4,0,1,0,"Buffalo Bills",16,16,22.4,359,394,24.6,"1,730",4.4,108.1,10,"58",87,22.1,9,2,4,19,16,22.4,359,347,602,57.6,37.6,"3,972",6.8,248.2,30,17,197,32.7,"77T",59,11,21,83.3,19,16,"22,4",359,"1,017",356.4,5.6,20.1,85,210,40,3,13,23,113,"906","28:42",16,8,2016,NA
"52",4,"Lorenzo Alexander","buf","vs NYJ","L  31-37",1,4,0,4,0,1,0,"Buffalo Bills",15,2,25,50,64,32,"206",3.2,103,3,"12T",11,17.2,0,0,1,24,2,25,50,46,67,68.7,33.5,"595",9.4,297.5,2,0,29,43.3,"66T",11,1,5,108.6,NA,2,"25",50,"136",400.5,5.9,23,14,28,50,0,1,0,13,"85","36:02",3,2,NA,23
"53",4,"Lorenzo Alexander","buf","vs ARI","W  33-18",1.5,4.5,1,4,2,1,0,"Buffalo Bills",16,16,22.4,359,394,24.6,"1,730",4.4,108.1,10,"58",87,22.1,9,2,4,19,16,22.4,359,347,602,57.6,37.6,"3,972",6.8,248.2,30,17,197,32.7,"77T",59,11,21,83.3,19,16,"22,4",359,"1,017",356.4,5.6,20.1,85,210,40,3,13,23,113,"906","28:42",16,8,2016,NA
"54",4,"Lorenzo Alexander","buf","vs ARI","W  33-18",1.5,4.5,1,4,2,1,0,"Buffalo Bills",15,2,25,50,64,32,"206",3.2,103,3,"12T",11,17.2,0,0,1,24,2,25,50,46,67,68.7,33.5,"595",9.4,297.5,2,0,29,43.3,"66T",11,1,5,108.6,NA,2,"25",50,"136",400.5,5.9,23,14,28,50,0,1,0,13,"85","36:02",3,2,NA,23
"55",4,"Corey Graham","buf","vs ARI","W  33-18",1,9,1,4,0,0,0,"Buffalo Bills",16,16,22.4,359,394,24.6,"1,730",4.4,108.1,10,"58",87,22.1,9,2,4,19,16,22.4,359,347,602,57.6,37.6,"3,972",6.8,248.2,30,17,197,32.7,"77T",59,11,21,83.3,19,16,"22,4",359,"1,017",356.4,5.6,20.1,85,210,40,3,13,23,113,"906","28:42",16,8,2016,NA
"56",4,"Corey Graham","buf","vs ARI","W  33-18",1,9,1,4,0,0,0,"Buffalo Bills",15,2,25,50,64,32,"206",3.2,103,3,"12T",11,17.2,0,0,1,24,2,25,50,46,67,68.7,33.5,"595",9.4,297.5,2,0,29,43.3,"66T",11,1,5,108.6,NA,2,"25",50,"136",400.5,5.9,23,14,28,50,0,1,0,13,"85","36:02",3,2,NA,23
"57",4,"Jerry Hughes","buf","vs ARI","W  33-18",1,6,3,2,0,0,0,"Buffalo Bills",16,16,22.4,359,394,24.6,"1,730",4.4,108.1,10,"58",87,22.1,9,2,4,19,16,22.4,359,347,602,57.6,37.6,"3,972",6.8,248.2,30,17,197,32.7,"77T",59,11,21,83.3,19,16,"22,4",359,"1,017",356.4,5.6,20.1,85,210,40,3,13,23,113,"906","28:42",16,8,2016,NA
"58",4,"Jerry Hughes","buf","vs ARI","W  33-18",1,6,3,2,0,0,0,"Buffalo Bills",15,2,25,50,64,32,"206",3.2,103,3,"12T",11,17.2,0,0,1,24,2,25,50,46,67,68.7,33.5,"595",9.4,297.5,2,0,29,43.3,"66T",11,1,5,108.6,NA,2,"25",50,"136",400.5,5.9,23,14,28,50,0,1,0,13,"85","36:02",3,2,NA,23
"59",4,"Kyle Williams","buf","vs ARI","W  33-18",1,4,2,1,3,0,0,"Buffalo Bills",16,16,22.4,359,394,24.6,"1,730",4.4,108.1,10,"58",87,22.1,9,2,4,19,16,22.4,359,347,602,57.6,37.6,"3,972",6.8,248.2,30,17,197,32.7,"77T",59,11,21,83.3,19,16,"22,4",359,"1,017",356.4,5.6,20.1,85,210,40,3,13,23,113,"906","28:42",16,8,2016,NA
"60",4,"Kyle Williams","buf","vs ARI","W  33-18",1,4,2,1,3,0,0,"Buffalo Bills",15,2,25,50,64,32,"206",3.2,103,3,"12T",11,17.2,0,0,1,24,2,25,50,46,67,68.7,33.5,"595",9.4,297.5,2,0,29,43.3,"66T",11,1,5,108.6,NA,2,"25",50,"136",400.5,5.9,23,14,28,50,0,1,0,13,"85","36:02",3,2,NA,23
