Mass	Polarity	Intensity	Start	End
161.1322174	Positive	4577787.872	3.876397783	4.176397783
161.1323242	Positive	120640.6038	0.001268334	0.301268334
161.1323395	Positive	1887814.58	10.09342886	10.39342886
161.13237	Positive	152264.8254	0	0.234173725
161.1490479	Positive	117650.4977	9.126387393	9.426387393
162.0725403	Positive	98553.85133	0.170591108	0.470591108
162.0756683	Positive	1611045.066	0.174976311	0.474976311
162.090683	Positive	66934.87496	12.13257825	12.43257825
162.091217	Positive	246230.576	9.033864851	9.333864851
163.1327057	Positive	54927.6556	1.715275266	2.015275266
162.9840851	Positive	78241.00767	0	0.23349364
163.0384521	Positive	119259704.9	12.42696905	12.72696905
163.038559	Positive	500771206.8	9.689663183	9.989663183
163.0386963	Positive	161608818.6	9.572453611	9.872453611
163.0387268	Positive	10473808.58	0.132084284	0.432084284
163.0596924	Positive	26273480.47	0.305979176	0.605979176
163.0601807	Positive	2526772.998	10.30313105	10.60313105
163.0658875	Positive	242824.9816	11.08959039	11.38959039
163.0662079	Positive	103249.6964	11.27158715	11.57158715
163.0749817	Positive	3902564.808	9.061383948	9.361383948
163.0749817	Positive	602912.4764	9.945815291	10.24581529
163.0749969	Positive	11087431.69	9.343315808	9.643315808
163.0750122	Positive	10624693.15	9.450342203	9.750342203
163.0750275	Positive	2614067.877	5.923954794	6.223954794
163.0750427	Positive	3982956.421	3.19031539	3.49031539
163.075058	Positive	2568712.136	9.528550556	9.828550556
163.0751038	Positive	3222728.367	3.6225786	3.9225786
163.0751038	Positive	3086158.252	9.038666582	9.338666582
163.0921631	Positive	81446.61983	7.537759687	7.837759687
163.1024017	Positive	159880.7486	9.464240462	9.764240462
163.1114197	Positive	2435179.736	3.877537601	4.177537601
163.1114655	Positive	2288849.972	4.432588448	4.732588448
163.1115265	Positive	111821.4373	0.031949432	0.331949432
163.1115723	Positive	1263779.001	2.710456707	3.010456707
163.1325684	Positive	1182729.165	4.987129709	5.287129709
163.1476898	Positive	242673.0609	12.81969375	13.11969375
163.1477814	Positive	178405.9088	0.039254886	0.339254886
163.1478271	Positive	485285.0608	5.719461394	6.019461394
