Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
16402-14336,RB,Jacquizz,Rodgers,2.900000095,1,5300,LA@TB,TB,LA,,
16402-14198,QB,Christian,Ponder,0,0,5200,SF@SEA,SF,SEA,,
16402-14245,RB,Shane,Vereen,6.849999905,2,5200,WAS@NYG,NYG,WAS,,
16402-27457,WR,Kenny,Stills,6.5,2,5200,CLE@MIA,MIA,CLE,,
16402-54741,WR,Seth,Roberts,6.449999809,2,5200,OAK@TEN,OAK,TEN,,
16402-54687,RB,Charcandrick,West,6.050000191,2,5200,NYJ@KC,KC,NYJ,,
16402-54607,RB,Terrance,West,5.5,2,5200,BAL@JAC,BAL,JAC,,
16402-28573,WR,Michael,Thomas,8.199999809,2,5200,ATL@NO,NO,ATL,,
16402-62616,RB,Zach,Zenner,2.025000095,4,5200,DET@GB,DET,GB,,
16402-11512,TE,Jimmy,Graham,3.650000095,2,5200,SF@SEA,SEA,SF,,
16402-12556,D,Houston,Texans,11,2,5200,HOU@NE,HOU,NE,,
16402-8050,TE,Zach,Miller,4.099999905,2,5200,CHI@DAL,CHI,DAL,,
16402-14645,WR,Dontrelle,Inman,1.149999976,2,5200,SD@IND,SD,IND,,
16402-7972,RB,Darren,Sproles,5.199999809,2,5200,PIT@PHI,PHI,PIT,,
16402-21123,TE,Larry,Donnell,6.199999809,2,5200,WAS@NYG,NYG,WAS,,
16402-22219,WR,Jermaine,Kearse,5.150000095,2,5200,SF@SEA,SEA,SF,,
16402-6742,TE,Brent,Celek,0.800000012,2,5200,PIT@PHI,PHI,PIT,,
16402-29685,WR,Robert,Woods,2.75,2,5100,ARI@BUF,BUF,ARI,,
16402-34295,WR,Breshad,Perriman,4.099999905,2,5100,BAL@JAC,BAL,JAC,,
16402-25837,RB,Duke,Johnson Jr.,7.050000191,2,5100,CLE@MIA,CLE,MIA,,
16402-12546,D,Arizona,Cardinals,14.5,2,5100,ARI@BUF,ARI,BUF,,
16402-22288,WR,Cole,Beasley,10.25,2,5100,CHI@DAL,DAL,CHI,,
16402-22258,RB,Travaris,Cadet,5.849999905,2,5100,ATL@NO,NO,ATL,,
16402-11609,RB,James,Starks,2.099999905,2,5100,DET@GB,GB,DET,,
16402-6724,K,Steven,Hauschka,4.5,2,5100,SF@SEA,SEA,SF,,
16402-22048,RB,Robert,Turbin,4.949999809,2,5100,SD@IND,IND,SD,,
16402-24891,RB,Chris,Thompson,9.100000381,2,5100,WAS@NYG,WAS,NYG,,
16402-8803,QB,Chase,Daniel,-0.02,2,5000,PIT@PHI,PHI,PIT,,
16402-32514,QB,Trevone,Boykin,0,0,5000,SF@SEA,SEA,SF,,
16402-6566,RB,Chris,Johnson,5.800000191,2,5000,ARI@BUF,ARI,BUF,,
16402-70446,QB,Joe,Callahan,0,0,5000,DET@GB,GB,DET,,
16402-28163,QB,Connor,Cook,0,0,5000,OAK@TEN,OAK,TEN,,
16402-70464,QB,Josh,Woodrum,0,0,5000,SD@IND,IND,SD,,
16402-47772,QB,Brandon,Doughty,0,0,5000,CLE@MIA,MIA,CLE,,
16402-43956,QB,David,Fales,0,0,5000,BAL@JAC,BAL,JAC,,
16402-26355,QB,Logan,Thomas,0,0,5000,WAS@NYG,NYG,WAS,,
16402-33137,WR,Justin,Hardy,3.900000095,2,5000,ATL@NO,ATL,NO,,
16402-41732,QB,Christian,Hackenberg,0,0,5000,NYJ@KC,NYJ,KC,,
16402-29605,QB,Matt,Barkley,0,0,5000,CHI@DAL,CHI,DAL,,
16402-45797,QB,Garrett,Grayson,0,1,5000,ATL@NO,NO,ATL,,
16402-26141,QB,Ryan,Nassib,6.71999979,1,5000,WAS@NYG,NYG,WAS,,
16402-29445,QB,Sean,Mannion,1.24000001,1,5000,LA@TB,LA,TB,,
16402-54705,QB,Dustin,Vaughan,0,0,5000,PIT@PHI,PIT,PHI,,
16402-6373,QB,Derek,Anderson,0.413333337,3,5000,MIN@CAR,CAR,MIN,,
16402-32366,QB,Jameill,Showers,0,0,5000,CHI@DAL,DAL,CHI,,
16402-30237,RB,Mike,Gillislee,4.199999809,2,5000,ARI@BUF,BUF,ARI,,
16402-30253,QB,Jeff,Driskel,0,0,5000,DEN@CIN,CIN,DEN,,
16402-26483,QB,Geno,Smith,21,1,5000,NYJ@KC,NYJ,KC,,
16402-31421,QB,Zach,Mettenberger,7.028571538,7,5000,PIT@PHI,PIT,PHI,,
16402-25775,TE,Clive,Walford,9,2,5000,OAK@TEN,OAK,TEN,,
16402-8071,QB,Dan,Orlovsky,5.519999981,2,5000,DET@GB,DET,GB,,
16402-44500,QB,Keith,Wenning,0,0,5000,DEN@CIN,CIN,DEN,,
16402-12553,D,Carolina,Panthers,11,2,5000,MIN@CAR,CAR,MIN,,
16402-24755,WR,Jamison,Crowder,10.85000038,2,5000,WAS@NYG,WAS,NYG,,
16402-33714,K,Cairo,Santos,12.5,2,5000,NYJ@KC,KC,NYJ,,
16402-14696,QB,Scott,Tolzien,-0.07,2,5000,SD@IND,IND,SD,,
16402-27801,QB,Nate,Sudfeld,0,0,5000,WAS@NYG,WAS,NYG,,
16402-33702,QB,Ryan,Griffin,0,0,5000,LA@TB,TB,LA,,
16402-8023,QB,Josh,Johnson,0,0,5000,WAS@NYG,NYG,WAS,,
16402-26877,QB,Jake,Heaps,0,0,5000,SF@SEA,SEA,SF,,
16402-31170,QB,Brandon,Allen,0,0,5000,BAL@JAC,JAC,BAL,,
16402-8051,QB,Luke,McCown,6.199999809,2,5000,ATL@NO,NO,ATL,,
16402-70127,QB,Griffin,Neal,0,0,5000,ATL@NO,NO,ATL,,
16402-7900,K,Stephen,Gostkowski,10.5,2,5000,HOU@NE,NE,HOU,,
16402-39859,TE,Jack,Doyle,11.35000038,2,5000,SD@IND,IND,SD,,
16402-30788,QB,Tyler,Bray,0,0,5000,NYJ@KC,KC,NYJ,,
16402-7919,QB,Kellen,Clemens,-0.100000001,1,5000,SD@IND,SD,IND,,
16402-27982,QB,Jake,Rudock,0,0,5000,DET@GB,DET,GB,,
16402-29915,QB,Brett,Hundley,0,0,5000,DET@GB,GB,DET,,
16402-11532,TE,Dennis,Pitta,10.05000019,2,5000,BAL@JAC,BAL,JAC,,
16402-7761,TE,Jared,Cook,3.150000095,2,5000,DET@GB,GB,DET,,
16402-6687,QB,Mark,Sanchez,12.28000005,3,5000,CHI@DAL,DAL,CHI,,
16402-6681,WR,Andre,Johnson,5.949999809,2,5000,OAK@TEN,TEN,OAK,,
16402-7744,QB,Drew,Stanton,0.439999998,1,5000,ARI@BUF,ARI,BUF,,
16402-24949,QB,EJ,Manuel,0.600000024,1,5000,ARI@BUF,BUF,ARI,,
16402-27134,WR,Dorial,Green-Beckham,2.599999905,2,5000,PIT@PHI,PHI,PIT,,
16402-11615,QB,Joe,Webb,-0.02,5,5000,MIN@CAR,CAR,MIN,,
16402-25969,QB,Tom,Savage,0,0,5000,HOU@NE,HOU,NE,,
16402-34459,QB,B.J.,Daniels,0.920000017,4,5000,CHI@DAL,CHI,DAL,,
16402-14349,WR,Jeremy,Kerley,7,2,5000,SF@SEA,SF,SEA,,
16402-6643,RB,Reggie,Bush,-0.400000006,1,4900,ARI@BUF,BUF,ARI,,
16402-32613,RB,DeAndre,Washington,4.300000191,2,4900,OAK@TEN,OAK,TEN,,
16402-14320,RB,Bilal,Powell,3.299999952,2,4900,NYJ@KC,NYJ,KC,,
16402-15006,RB,Shaun,Draughn,5.349999905,2,4900,SF@SEA,SF,SEA,,
16402-28486,WR,Corey,Brown,2.299999952,2,4900,MIN@CAR,CAR,MIN,,
16402-32045,TE,Vance,McDonald,11.19999981,2,4900,SF@SEA,SF,SEA,,
16402-33578,RB,Jalen,Richard,9.850000381,2,4900,OAK@TEN,OAK,TEN,,
16402-48344,WR,Albert,Wilson,1.850000024,2,4900,NYJ@KC,KC,NYJ,,
16402-24569,K,Chandler,Catanzaro,7,2,4900,ARI@BUF,ARI,BUF,,
16402-24589,WR,Jaron,Brown,8.550000191,2,4900,ARI@BUF,ARI,BUF,,
16402-10744,K,Graham,Gano,13.5,2,4900,MIN@CAR,CAR,MIN,,
16402-41806,WR,Laquon,Treadwell,0,0,4800,MIN@CAR,MIN,CAR,,
16402-22898,RB,Brandon,Bolden,0.400000006,1,4800,HOU@NE,NE,HOU,,
16402-54782,TE,Cameron,Brate,3.799999952,2,4800,LA@TB,TB,LA,,
16402-38269,RB,Cameron,Artis-Payne,5.433333079,6,4800,MIN@CAR,CAR,MIN,,
16402-29357,RB,Kenjon,Barner,2.200000048,2,4800,PIT@PHI,PHI,PIT,,
16402-54623,WR,Jeff,Janis,0.988888847,9,4800,DET@GB,GB,DET,,
16402-31406,RB,Alfred,Blue,0.75,2,4800,HOU@NE,HOU,NE,,
16402-29183,RB,D.J.,Foster,1.399999976,1,4800,HOU@NE,NE,HOU,,
16402-39649,RB,Benny,Cunningham,1.350000024,2,4800,LA@TB,LA,TB,,
16402-14704,WR,Chris,Hogan,10.69999981,2,4800,HOU@NE,NE,HOU,,
16402-22292,RB,Lance,Dunbar,3.150000095,2,4800,CHI@DAL,DAL,CHI,,
16402-7975,RB,Mike,Tolbert,1.850000024,2,4800,MIN@CAR,CAR,MIN,,
16402-23045,K,Justin,Tucker,12,2,4800,BAL@JAC,BAL,JAC,,
16402-26038,TE,Tyler,Kroft,5,1,4800,DEN@CIN,CIN,DEN,,
16402-6828,RB,Tim,Hightower,1.200000048,2,4800,ATL@NO,NO,ATL,,
16402-12531,D,Denver,Broncos,14,2,4800,DEN@CIN,DEN,CIN,,
16402-24847,TE,Will,Tye,2.549999952,2,4800,WAS@NYG,NYG,WAS,,
16402-22054,WR,Jarius,Wright,4.139999898,15,4800,MIN@CAR,MIN,CAR,,
16402-26247,K,Brandon,McManus,9,2,4700,DEN@CIN,DEN,CIN,,
16402-34154,WR,J.J.,Nelson,1.600000024,1,4700,ARI@BUF,ARI,BUF,,
16402-6522,K,Josh,Brown,11,1,4700,WAS@NYG,NYG,WAS,,
16402-29351,WR,De'Anthony,Thomas,3.590000153,10,4700,NYJ@KC,KC,NYJ,,
16402-14952,K,Dan,Bailey,13,2,4700,CHI@DAL,DAL,CHI,,
16402-30261,K,Caleb,Sturgis,11,2,4700,PIT@PHI,PHI,PIT,,
16402-32000,TE,Luke,Willson,2.349999905,2,4700,SF@SEA,SEA,SF,,
16402-14761,WR,Andre,Holmes,3.549999952,2,4700,OAK@TEN,OAK,TEN,,
16402-24671,WR,Adam,Humphries,7.650000095,2,4700,LA@TB,TB,LA,,
16402-39427,WR,Quinton,Patton,6.25,2,4700,SF@SEA,SF,SEA,,
16402-24682,RB,Andre,Ellington,1.700000048,2,4700,ARI@BUF,ARI,BUF,,
16402-33766,RB,Rob,Kelley,0,0,4700,WAS@NYG,WAS,NYG,,
16402-10647,K,Matt,Bryant,9.5,2,4700,ATL@NO,ATL,NO,,
16402-31836,WR,Terrance,Williams,4.900000095,1,4700,CHI@DAL,DAL,CHI,,
16402-6897,K,Mason,Crosby,5.5,2,4700,DET@GB,GB,DET,,
16402-28030,RB,Fitzgerald,Toussaint,1.200000048,2,4700,PIT@PHI,PIT,PHI,,
16402-6660,RB,Donald,Brown,6.950000127,6,4700,HOU@NE,NE,HOU,,
16402-22110,K,Blair,Walsh,11,2,4700,MIN@CAR,MIN,CAR,,
16402-6668,K,Adam,Vinatieri,11.5,2,4700,SD@IND,IND,SD,,
16402-24862,WR,Rashad,Greene,1.299999952,2,4700,BAL@JAC,JAC,BAL,,
16402-38790,WR,Jalin,Marshall,2,2,4700,NYJ@KC,NYJ,KC,,
16402-10531,WR,Jordan,Norwood,1.950000048,2,4700,DEN@CIN,DEN,CIN,,
16402-29645,RB,Javorius,Allen,7.699999809,16,4600,BAL@JAC,BAL,JAC,,
16402-33037,WR,Kenbrell,Thompkins,4.166666667,6,4600,NYJ@KC,NYJ,KC,,
16402-6636,K,Mike,Nugent,11,2,4600,DEN@CIN,CIN,DEN,,
16402-28346,TE,Maxx,Williams,4.066666603,12,4600,BAL@JAC,BAL,JAC,,
16402-6427,K,Connor,Barth,2,2,4600,CHI@DAL,CHI,DAL,,
16402-45723,TE,Crockett,Gillmore,1.850000024,2,4600,BAL@JAC,BAL,JAC,,
16402-12903,WR,Andrew,Hawkins,2.099999905,2,4600,CLE@MIA,CLE,MIA,,
16402-26610,WR,Paul,Richardson,3.299999952,2,4600,SF@SEA,SEA,SF,,
16402-30403,WR,Chris,Conley,4.400000095,2,4600,NYJ@KC,KC,NYJ,,
16402-29314,TE,Richard,Rodgers,3.099999905,2,4600,DET@GB,GB,DET,,
16402-29340,WR,Josh,Huff,0.200000003,2,4600,PIT@PHI,PHI,PIT,,
16402-39373,WR,Jaelen,Strong,0,1,4600,HOU@NE,HOU,NE,,
16402-12090,K,Nick,Novak,12.5,2,4600,HOU@NE,HOU,NE,,
16402-38301,TE,Darren,Fells,5.099999905,1,4600,ARI@BUF,ARI,BUF,,
